תאריך,נייר/תנועה,מס' נייר/תנועה,פעולה,כמות,מחיר,זכות נטו,חובה נטו,עמלה,יתרה,אסמכתא
1 בינו׳ 2020,איפוס מגן מס,9992983,משיכה,37.49,100,0,0,0,521.74,9992983
31 בינו׳ 2020,31/01/20 דמי שימוש/ניהול חשבון,900,ד.טפול,0,0,0,15,0,506.74,0
31 בינו׳ 2020,מגן מס,9993983,הפקדה,3.74,100,0,0,0,506.74,0
29 בפבר׳ 2020,29/02/20 דמי שימוש/ניהול חשבון,900,ד.טפול,0,0,0,15,0,491.74,0
29 בפבר׳ 2020,מגן מס,9993983,הפקדה,3.75,100,0,0,0,491.74,0
11 במרץ 2020,הפקדה לבנק החייל אוצר בנ,900,העברה,0,0,30000,0,0,30491.74,1
15 במרץ 2020,"125 תכלית ת""א",5114657,קניה,1893,108.54,0,2059.66,5,28432.08,5555
16 במרץ 2020,SP 500.IBI,5117601,קניה,2186,182.91,0,4003.41,5,24428.67,1551
16 במרץ 2020,SP 500.IBI,5117601,קניה,2186,182.49,0,3994.23,5,20434.44,0
16 במרץ 2020,SP 500.IBI,5117601,קניה,-2186,182.91,0,-4003.41,-5,24437.85,0
16 במרץ 2020,MSCI EM.IBI,5119318,קניה,4431,90.27,0,4004.86,5,20432.99,5555
16 במרץ 2020,MSCI EM.IBI,5119318,קניה,4431,86.28,0,3828.07,5,16604.92,0
16 במרץ 2020,MSCI EM.IBI,5119318,קניה,-4431,90.27,0,-4004.86,-5,20609.78,0
30 במרץ 2020,RUSS2000.MTF,1150242,ק/רצף,145,3434,0,4983.78,4.48,15626,5555
30 במרץ 2020,2-5 קסם גליל,5113329,מכירה,14200,110.76,15715.34,0,12.58,31341.34,5555
30 במרץ 2020,"125 תכלית ת""א",5114657,קניה,5000,109.96,0,5503,5,25838.34,5555
30 במרץ 2020,SP 500.IBI,5117601,קניה,2500,189.96,0,4754,5,21084.34,5555
30 במרץ 2020,SP 500.IBI,5117601,קניה,2500,188.7,0,4722.5,5,16361.84,0
30 במרץ 2020,SP 500.IBI,5117601,קניה,-2500,189.96,0,-4754,-5,21115.84,0
30 במרץ 2020,MSCI EM.IBI,5119318,קניה,5000,92.99,0,4654.5,5,16461.34,5555
30 במרץ 2020,MSCI EM.IBI,5119318,קניה,5000,88.41,0,4425.5,5,12035.84,0
30 במרץ 2020,MSCI EM.IBI,5119318,קניה,-5000,92.99,0,-4654.5,-5,16690.34,0
30 במרץ 2020,+5 תכלית שחר,5119375,קניה,11901,137.6,0,16388.88,13.1,301.46,5555
30 במרץ 2020,מס עתידי,9992985,הפקדה,86.2,100,0,0,0,301.46,0
31 במרץ 2020,מס עתידי,9992985,משיכה,86.2,100,0,0,0,301.46,0
31 במרץ 2020,מגן מס,9993983,הפקדה,86.2,100,0,0,0,301.46,0
30 באפר׳ 2020,30/04/20 דמי שימוש/ניהול חשבון,900,ד.טפול,0,0,0,15,0,286.46,0
30 באפר׳ 2020,מגן מס,9993983,הפקדה,3.75,100,0,0,0,286.46,0
31 במאי 2020,31/05/20 דמי שימוש/ניהול חשבון,900,ד.טפול,0,0,0,15,0,271.46,0
31 במאי 2020,מגן מס,9993983,הפקדה,3.75,100,0,0,0,271.46,0
19 ביוני 2020,URTH US    /דיב,99028,הפ/דיב,78.13,344.7,0,0,0,271.46,0
19 ביוני 2020,URTH US    /מסח,99028,מש/מסח,19.53,344.7,0,0,0,271.46,0
30 ביוני 2020,30/06/20 דמי שימוש/ניהול חשבון,900,ד.טפול,0,0,0,15,0,256.46,0
30 ביוני 2020,מגן מס,9993983,הפקדה,3.75,100,0,0,0,256.46,0
31 ביולי 2020,31/07/20 דמי שימוש/ניהול חשבון,900,ד.טפול,0,0,0,15,0,241.46,0
31 ביולי 2020,מגן מס,9993983,הפקדה,3.75,100,0,0,0,241.46,0
31 באוג׳ 2020,31/08/20 דמי שימוש/ניהול חשבון,900,ד.טפול,0,0,0,15,0,226.46,0
31 באוג׳ 2020,מגן מס,9993983,הפקדה,3.75,100,0,0,0,226.46,0
30 בספט׳ 2020,30/09/20 דמי שימוש/ניהול חשבון,900,ד.טפול,0,0,0,15,0,211.46,0
30 בספט׳ 2020,מגן מס,9993983,הפקדה,3.75,100,0,0,0,211.46,0
31 באוק׳ 2020,31/10/20 דמי שימוש/ניהול חשבון,900,ד.טפול,0,0,0,15,0,196.46,0
31 באוק׳ 2020,מגן מס,9993983,הפקדה,3.75,100,0,0,0,196.46,0
30 בנוב׳ 2020,30/11/20 דמי שימוש/ניהול חשבון,900,ד.טפול,0,0,0,15,0,181.46,0
30 בנוב׳ 2020,מגן מס,9993983,הפקדה,3.75,100,0,0,0,181.46,0
18 בדצמ׳ 2020,URTH US    /דיב,99028,הפ/דיב,67.45,324.1,0,0,0,181.46,0
18 בדצמ׳ 2020,URTH US    /מסח,99028,מש/מסח,16.86,324.1,0,0,0,181.46,0
31 בדצמ׳ 2020,31/12/20 דמי שימוש/ניהול חשבון,900,ד.טפול,0,0,0,15,0,166.46,0
31 בדצמ׳ 2020,מגן מס,9993983,הפקדה,3.75,100,0,0,0,166.46,0